artist,id,song_descriptor,x1_graphics,x2_graphics,x0_descriptive,x1_descriptive,x2_descriptive,x3_descriptive,x4_descriptive,x5_descriptive,x6_descriptive,x7_descriptive,x8_descriptive,x9_descriptive,x10_descriptive,x11_descriptive,x12_descriptive,x13_descriptive,x14_descriptive,x15_descriptive,x16_descriptive,x17_descriptive,x18_descriptive,x19_descriptive,x20_descriptive,x21_descriptive,x22_descriptive,x23_descriptive,x24_descriptive,x25_descriptive,x26_descriptive,x27_descriptive,x28_descriptive,x29_descriptive,x30_descriptive,x31_descriptive,x32_descriptive,x33_descriptive,x34_descriptive,x35_descriptive,x36_descriptive,x37_descriptive,x38_descriptive,x39_descriptive,x40_descriptive,x41_descriptive,x42_descriptive,x43_descriptive,x44_descriptive,x45_descriptive,x46_descriptive,x47_descriptive,x48_descriptive,x49_descriptive,x50_descriptive,x51_descriptive,x52_descriptive,x53_descriptive,x54_descriptive,x55_descriptive,x56_descriptive,x57_descriptive,x58_descriptive,x59_descriptive,x60_descriptive,x61_descriptive,x62_descriptive,x63_descriptive,x64_descriptive,x65_descriptive,x66_descriptive,x67_descriptive,x68_descriptive,x69_descriptive,x70_descriptive,x71_descriptive,x72_descriptive,x73_descriptive,x74_descriptive,x75_descriptive,x76_descriptive,x77_descriptive,x78_descriptive,x79_descriptive,x80_descriptive,x81_descriptive,x82_descriptive,x83_descriptive,x84_descriptive,x85_descriptive,x86_descriptive,x87_descriptive,x88_descriptive,x89_descriptive,x90_descriptive,x91_descriptive,x92_descriptive,x93_descriptive,x94_descriptive,x95_descriptive,x96_descriptive,x97_descriptive,x98_descriptive,x99_descriptive,x100_descriptive,x101_descriptive,x102_descriptive,x103_descriptive,x104_descriptive,x105_descriptive,x106_descriptive,x107_descriptive,x108_descriptive,x109_descriptive,x110_descriptive,x111_descriptive,x112_descriptive,x113_descriptive,x114_descriptive,x115_descriptive,x116_descriptive,x117_descriptive,x118_descriptive,x119_descriptive,x120_descriptive,x121_descriptive,x122_descriptive,x123_descriptive,x124_descriptive,x125_descriptive,x126_descriptive,x127_descriptive,popularity_mean,popularity_variance,danceability_mean,danceability_variance,duration_mean,duration_variance,energy_mean,energy_variance,instrumentalness_mean,instrumentalness_variance,key_mean,key_variance,liveness_mean,liveness_variance,loudness_mean,loudness_variance,mode_mean,mode_variance,speechiness_mean,speechiness_variance,tempo_mean,tempo_variance,time_mean,time_variance,valance_mean,valance_variance
Shakira,0EmeFodog0BfCgMzAIvKQp,328.342529296875,328.3425,142.53835,328.34225,142.53848,96.777596,69.302826,57.20399,52.958057,48.545452,46.093365,39.208576,37.323498,35.904385,34.767517,31.954779,31.065577,29.140072,28.760597,27.546522,26.75525,24.95173,24.416737,22.6185,20.670023,20.515306,19.438414,18.83538,18.26711,16.945948,16.442125,16.162468,15.475066,15.295367,14.525321,13.788657,13.607149,12.987012,12.324992,12.192148,12.039894,11.374466,11.137252,10.941696,10.753899,9.902981,9.705014,9.629024,9.3774,8.96591,8.870022,8.628568,8.411877,8.089855,7.8187304,7.7032304,7.4555054,7.044629,7.0021567,6.928157,6.6207666,6.376785,6.313641,6.1081233,5.973125,5.765416,5.5969563,5.3243585,5.2054095,5.125852,5.045482,4.9680343,4.768278,4.6094117,4.37075,4.255416,4.1122394,4.0370235,3.9458635,3.8847332,3.8434548,3.6214502,3.3631592,3.3409843,3.2268407,3.1590588,2.9413235,2.909069,2.658788,2.6210408,2.4684322,2.3804405,2.1329582,2.0069602,1.9363569,1.8931508,1.8290373,1.7729051,1.6254613,1.5748255,1.5129479,1.493977,1.3821638,1.3141016,1.2801557,1.155617,1.0899817,1.032462,1.0179623,1.0101291,0.9328991,0.87763447,0.85597485,0.8323169,0.81225425,0.7826146,0.7155366,0.71082294,0.6749376,0.6674464,0.64893675,0.60254216,0.5816754,0.5332923,0.5166012,0.46365377,0.43590215,0.38869646,0.32109994,0.17299576,9.843726e-05,36.8540145985401,331.759710160371,0.650317518248175,0.025751296992381,223599.518248175,4887157607.78251,0.696367518248175,0.048940544309899,0.058457128357664,0.042740892609195,5.56569343065694,14.0996989717087,0.290514598540146,0.094374293071554,-6.97190510948905,17.5532911953754,0.583941605839416,0.2429538068091,0.065442700729927,0.00240317054891,123.633343065693,669.120466108583,3.94160583941606,0.098779903031595,0.545815693430657,0.054365424242767
Aterciopelados,,487.844360351563,487.84433,188.12349,487.8444,188.12321,158.39137,147.97421,125.63586,122.93481,116.90517,109.71255,102.21847,93.95919,88.58015,80.426094,78.3124,77.2724,72.27777,69.58439,66.63165,61.043434,57.773357,54.875717,51.982216,51.231644,48.191643,47.194565,44.690258,43.127827,42.478077,37.70241,36.979515,36.512886,32.56807,31.412169,30.071589,28.958622,28.382479,26.653097,25.553312,24.486422,23.94398,22.987011,22.548786,22.260712,21.440035,20.80744,20.452375,19.23763,18.063911,17.614988,16.67998,16.556236,15.580656,14.999799,14.67131,14.375826,13.91238,13.699947,13.192939,12.894656,12.590361,12.245629,12.1830435,11.648185,11.290843,10.926232,10.553482,10.0674305,9.835333,9.588354,9.150245,8.897061,8.128822,7.947686,7.6141067,7.356688,6.9977355,6.823274,6.775581,6.5920725,6.232778,5.9998913,5.889306,5.551632,4.9973955,4.9506426,4.725463,4.6310544,4.4563203,4.328923,3.8095531,3.6630347,3.5618362,3.297868,3.1548903,3.0384696,2.7756543,2.6028988,2.565896,2.4516492,2.2972355,2.2073226,2.1741555,2.1029172,2.0435708,1.9316479,1.733396,1.7182237,1.6429664,1.606153,1.5868555,1.56231,1.4640265,1.4166368,1.3246397,1.289267,1.2491868,1.2014024,1.1168946,1.052539,1.0293595,0.9916407,0.94859314,0.8666841,0.82101613,0.7221148,0.6446755,0.53799164,0.2752759,0.00014653422,,,,,,,,,,,,,,,,,,,,,,,,,,
Soraya,,573.177368164063,573.1773,210.71588,573.178,210.7162,133.44826,125.030266,118.42437,115.14319,106.08363,104.87062,100.66447,91.65775,86.87846,82.380005,79.30072,71.312035,67.82078,67.12077,65.13738,63.580326,61.718105,57.354507,57.020477,53.66501,50.45376,49.920887,49.275608,47.267834,45.22232,44.016537,42.1183,40.37281,38.755154,38.278706,35.409447,34.849445,34.199245,32.110523,30.856089,30.008127,28.693195,27.79292,26.823105,25.318977,24.746372,23.700472,23.57735,23.220055,22.533386,21.508636,20.634636,19.38567,19.168337,18.111044,17.89811,16.86474,16.556448,15.690067,14.942205,14.5893,13.718962,13.236645,13.007741,12.66592,12.4191885,11.776655,11.428116,11.375446,10.438361,10.058501,9.881471,9.192653,8.95269,8.53035,8.380799,8.0399685,7.90934,7.5663505,7.363394,7.2378445,6.8243384,6.678786,6.21574,5.875568,5.777493,5.6051755,5.220689,5.0081863,4.6792774,4.5733347,4.433485,4.3870854,3.8334565,3.792433,3.6745112,3.3775902,3.0563889,2.9343245,2.5401907,2.4437993,2.1479383,2.026087,1.940403,1.896488,1.8570837,1.6258683,1.5481907,1.4882991,1.3622884,1.324467,1.2714764,1.2182782,1.2028638,1.1328135,1.0966711,1.056514,1.0105343,0.9837148,0.9418755,0.90051603,0.8665302,0.809208,0.7944286,0.76532036,0.73437786,0.68269235,0.60086966,0.55880594,0.29590172,0.00013664033,,,,,,,,,,,,,,,,,,,,,,,,,,
Juanes,0UWZUmn7sybxMCqrw9tGa7,771.19482421875,771.1948,314.94888,771.196,314.94937,269.51044,215.48515,194.69695,173.0211,164.07068,151.83234,139.01106,130.38107,115.57398,114.22253,109.36786,106.47901,102.96343,93.21016,91.623436,86.04746,85.16529,78.62621,76.21497,75.26804,72.35481,69.8938,66.586174,63.69374,61.686745,57.576878,56.994244,54.43541,53.863415,51.18902,49.396214,44.62002,44.100887,41.47045,41.107204,39.31212,38.175037,37.604195,36.57558,35.076527,34.003517,33.317623,31.586853,31.323164,30.259045,29.666431,28.397474,27.630287,26.841309,26.39086,25.602186,24.813068,24.02115,23.389332,23.074175,22.257404,21.296566,20.549793,20.052473,19.081251,18.799124,18.283403,17.338892,16.795805,16.206186,15.725206,15.408824,15.196322,14.8223295,14.358093,13.841678,13.548429,12.774791,12.175636,11.97394,11.44741,10.6702795,9.954918,9.781428,9.3754015,8.99203,8.757876,8.284283,8.047504,7.466285,7.331569,7.072204,6.727952,6.5979023,6.0628433,5.733575,5.7113523,5.543349,5.3262553,5.216776,4.8574142,4.665472,4.6236696,4.2894735,4.1455245,4.053599,3.9999764,3.9706252,3.851804,3.7314744,3.6674418,3.5908082,3.4012206,3.274945,3.1334796,2.9358308,2.8757176,2.854931,2.7251236,2.5900102,2.51072,2.2972007,2.2650113,2.2025883,2.0226052,1.9699082,1.8517305,1.611597,1.5638113,0.78615063,0.00019155644,17.6185185185185,293.650768175583,0.61702962962963,0.0099344139369,215514.27037037,1607316554.73801,0.730974074074074,0.031404114142661,7.55208148148148e-05,2.90756210658595e-07,4.94074074074074,10.759451303155,0.216568518518518,0.042841759934842,-5.77718518518519,5.49725228422497,0.707407407407407,0.206982167352538,0.070116296296296,0.018636466030727,120.788911111111,834.568372740247,3.92592592592593,0.10562414266118,0.637266666666667,0.055214780740741
Carlos Vives,4vhNDa5ycK0ST968ek7kRr,598.382873535156,598.38324,336.7576,598.3829,336.75745,265.25702,186.36125,161.0101,142.08202,135.96187,123.63795,122.021225,109.86097,103.219696,101.44149,96.8533,89.59524,83.183975,77.370415,74.82036,66.81279,60.760513,58.79981,56.16615,54.102535,52.817738,52.179764,49.519474,48.1713,46.452106,45.599384,42.73492,41.567722,39.43794,37.722366,36.184204,35.734367,33.392365,31.85014,31.35405,30.994263,30.52247,29.20148,28.108934,26.501698,25.287865,24.1424,22.941936,22.662666,22.037682,21.459766,20.797853,20.241985,20.04022,19.133097,18.833838,18.432638,17.738838,17.631084,16.868235,16.467684,15.694303,15.266056,14.579232,14.294992,14.107957,13.723458,13.206409,12.787315,12.367928,12.046051,11.393851,11.230975,10.813729,10.705329,10.312882,10.207803,9.854996,9.657566,9.195235,8.47524,8.232029,8.116569,7.962971,7.649831,7.4246807,7.1306605,6.736602,6.6302905,6.1539173,6.0404396,5.864848,5.545853,5.3499846,5.313773,5.2359486,5.040976,4.732146,4.6196966,4.4900804,4.192704,4.126926,4.0841994,4.0435734,3.87648,3.804602,3.6934268,3.4702358,3.384197,3.3318112,3.2712457,3.1070416,3.024948,2.8136106,2.7107244,2.6280437,2.5536385,2.449208,2.3963406,2.3059988,2.1329815,2.0376153,1.9092884,1.8346629,1.7185901,1.6504688,1.5288887,1.3530029,1.2383993,0.71972716,0.00018390059,28.8346774193548,172.557345863684,0.613193548387097,0.013057220603538,237854.491935484,2415759349.88703,0.813391129032258,0.01659457685679,0.011899504556452,0.006644183600044,5.15322580645161,12.2668444328824,0.248112903225806,0.062101086043184,-6.69886693548387,4.84937384922932,0.80241935483871,0.158542533818939,0.0719625,0.002355742021169,121.613790322581,840.14036655281,3.98790322580645,0.076466571279917,0.689189516129032,0.049926863277185
Bomba Estéreo,,571.907836914063,571.9081,294.94507,571.9076,294.94565,176.7602,159.4728,114.77589,98.53362,92.25316,88.958984,81.2419,74.27984,72.89188,70.60093,69.48904,61.720455,58.5121,56.140152,53.30459,52.385563,48.956596,46.867725,45.49897,43.763412,42.480312,39.807816,38.588966,37.63886,36.922005,35.315807,34.955055,33.669655,33.131554,30.246616,28.814705,28.226593,25.348398,24.67771,24.468374,23.949146,23.348963,21.49237,21.093393,20.81057,20.269793,19.193504,19.022533,18.321644,17.70598,17.352379,16.855349,16.624325,16.043682,15.498237,15.354799,14.824718,14.259548,13.960815,13.670961,13.0438795,12.844361,12.167792,11.950956,11.518681,11.4244795,11.223883,10.57349,10.534215,10.069501,9.725632,9.62542,9.583841,9.200372,8.891605,8.575665,8.467614,8.20266,7.9260564,7.659001,7.4966426,7.2663717,6.946526,6.839787,6.6761,6.503446,6.056582,5.7913933,5.7211275,5.549242,5.296937,5.1686344,4.7505493,4.6094327,4.475739,4.2011795,4.0560765,4.042468,3.920323,3.4913669,3.2553875,3.2204576,3.083201,3.0314617,2.8505638,2.574063,2.491075,2.3532119,2.319374,2.1942408,2.169819,2.1132114,2.0465508,1.9690784,1.9256691,1.8267337,1.7875004,1.7142754,1.6283497,1.6115928,1.5590745,1.5123048,1.4281607,1.3540977,1.3267736,1.2819128,1.2382127,1.1729639,1.0425736,0.67599785,0.00019646414,,,,,,,,,,,,,,,,,,,,,,,,,,
Miranda,,186.302856445313,186.30286,64.81436,186.30301,64.81429,46.04481,42.578884,33.72105,32.445618,30.347118,29.420815,28.025164,26.396206,25.115477,23.65528,22.666677,21.719791,19.411642,19.055368,17.673079,17.363457,17.154148,15.616763,14.9857855,14.361912,13.018572,11.737233,11.599906,10.944128,10.791914,10.5802145,10.122293,9.31269,9.2844515,9.031042,8.566853,8.202706,7.7890882,7.448732,7.2425036,7.056073,6.7381296,6.4204087,5.7237244,5.4527044,5.181824,5.0393243,4.6492205,4.4974527,4.396726,4.127792,3.8434155,3.7926335,3.738181,3.552016,3.4052098,3.0000594,2.8617227,2.8432496,2.5633607,2.446419,2.3713953,2.3284492,2.2414088,2.1412556,2.0608664,1.9904916,1.9026785,1.7084446,1.6391888,1.5433861,1.474153,1.3770702,1.3418418,1.2919196,1.2338344,1.2257792,1.1400313,1.0412763,1.0230356,0.9982197,0.9600791,0.9460879,0.9155955,0.90075266,0.8768012,0.853566,0.8258714,0.779943,0.7730543,0.7451338,0.7411808,0.68976,0.67158496,0.64434713,0.6254324,0.59351385,0.57837695,0.57328045,0.5416459,0.520389,0.50176954,0.48495752,0.46948248,0.42740005,0.40446252,0.39245084,0.38870317,0.373782,0.35843396,0.3392701,0.33356813,0.312273,0.30581903,0.29755366,0.29478335,0.28079835,0.2689774,0.24798796,0.24053863,0.22211348,0.20241474,0.18748596,0.18546931,0.15836863,0.149091,0.1426671,0.12151664,0.10713764,0.057936195,4.4413886e-05,,,,,,,,,,,,,,,,,,,,,,,,,,
Sidestepper,,148.337142944336,148.33707,70.40992,148.33707,70.40982,68.567345,55.640926,50.587093,49.40162,46.73915,44.612568,41.41404,40.725838,37.048378,34.029324,33.45157,32.048317,31.223763,30.566067,29.771646,29.634733,28.749619,28.175909,26.79065,26.581993,26.107529,24.200974,23.112547,22.673077,21.607374,20.794476,20.245064,19.420483,19.176115,18.273233,17.830656,17.11153,16.722383,16.152813,15.746478,15.091706,14.279729,14.12887,13.570442,13.250687,12.864385,12.064039,11.9311285,11.454922,11.000006,10.902614,10.83109,10.017148,9.876613,9.767636,9.315397,8.956927,8.880243,8.680452,8.432405,8.048377,7.4854746,7.371958,6.951388,6.658554,6.3397293,6.2145214,6.012323,5.946615,5.5230966,5.269298,5.229712,4.9544573,4.781309,4.610242,4.4752426,4.362088,4.0868726,3.9184635,3.8322282,3.684252,3.536234,3.3296492,3.1388683,3.0983832,2.989708,2.8739698,2.803145,2.668639,2.5229545,2.4463408,2.335492,2.1934001,2.0782845,1.9306952,1.8789233,1.8376532,1.6313633,1.6003803,1.4163011,1.3621343,1.3349135,1.2498089,1.168206,1.1189456,1.0675957,1.0393447,0.9479192,0.8861264,0.7387259,0.6978512,0.65815026,0.6160525,0.58251655,0.5325974,0.4804987,0.47140434,0.43006685,0.3901623,0.37719595,0.31159687,0.28778407,0.26767206,0.24739958,0.21070373,0.18192434,0.16692683,0.14106005,0.11164639,0.055276483,5.6616205e-05,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabas,,1026.45678710938,1026.4562,485.42996,1026.4546,485.4295,261.27866,248.10526,172.73564,169.11511,152.83365,142.06505,121.734535,115.9879,106.86479,104.33051,96.152016,90.28202,84.13669,82.260284,77.25878,73.3681,70.24035,62.777985,59.54066,58.140884,54.564465,53.07681,51.206142,48.547047,46.438305,44.3319,42.72607,40.913437,38.56474,38.465298,36.682667,34.859753,34.21399,33.503765,33.207592,31.865456,30.995138,30.052624,29.452133,29.229038,28.562506,27.76548,25.746254,24.985203,24.969877,23.821795,23.258024,22.499393,21.3776,20.925375,19.964048,19.899994,19.29471,18.663624,18.588438,18.15148,17.81479,17.279833,16.957014,16.540182,16.460236,16.163292,15.473631,15.3340225,14.83547,14.572239,14.485991,14.025625,13.557549,13.101878,12.682023,12.568037,12.321511,11.971347,11.780161,11.133285,10.744989,10.632883,10.447842,10.407688,10.128778,9.908242,9.637857,9.28047,8.997079,8.677782,8.455145,8.032642,7.8763657,7.6404276,7.4717903,7.433208,7.2353787,6.887714,6.7036424,6.511806,6.4051332,6.403599,6.099187,5.777286,5.7439704,5.662417,5.13928,5.050824,4.8956623,4.7780027,4.681783,4.5854554,4.4637003,4.2957506,4.127918,3.9860723,3.8614876,3.798835,3.6367335,3.5159004,3.4283328,3.304513,3.0386612,2.9774995,2.8869956,2.6773994,2.556066,2.4114716,1.4308612,0.00024319273,,,,,,,,,,,,,,,,,,,,,,,,,,
Fonseca,53KTldaJ8tHSkYU3nigfwP,608.053100585938,608.05304,234.63438,608.0528,234.63463,180.59155,137.76802,117.2423,104.61847,102.25116,95.18408,90.46479,87.27758,81.049706,76.11938,71.25539,67.507866,61.129818,58.012627,57.286175,50.28782,46.661934,45.98329,44.67562,43.201164,41.11703,39.739807,37.82867,36.07928,35.532173,33.77556,33.169422,31.701405,30.90056,29.696812,29.219742,28.046232,27.297834,26.742014,25.96479,24.795958,24.031464,22.914179,21.97955,21.693056,20.052723,19.204218,18.77723,18.12503,17.866323,16.62213,16.185158,16.028381,15.608013,14.92886,14.336728,13.440575,13.350016,13.013846,12.514281,11.98962,11.352861,10.926157,10.461723,10.117574,10.003119,9.803655,9.590284,9.178711,9.035048,8.379998,7.7021275,7.331473,7.2719455,7.144565,6.806078,6.3931146,6.334257,6.180782,5.85014,5.528088,5.364275,5.17328,5.026736,4.7924023,4.678572,4.640986,4.3378243,4.15736,4.0422716,3.952237,3.851515,3.8165102,3.687011,3.5824778,3.5037756,3.3988025,3.3204284,3.1851547,3.1147597,3.0427594,2.910507,2.8457797,2.7954876,2.7345319,2.7102587,2.5965126,2.5768752,2.5125964,2.3864193,2.3621807,2.2590008,2.245905,2.1558213,2.092093,2.0620673,1.9574436,1.9155619,1.8497766,1.8292997,1.7524269,1.751916,1.7249,1.6636541,1.5960202,1.558779,1.4679149,1.3615559,1.3019243,0.7289133,0.00014493203,27.0984455958549,275.549893956885,0.634658031088083,0.017072069585761,238807.611398964,1040551609.77127,0.738400518134715,0.047247470103359,0.003075912487047,0.00016276065283,5.75647668393782,11.5831834411662,0.125962176165803,0.005085547222207,-6.5369585492228,5.08149558377406,0.689119170984456,0.214233939166152,0.06530310880829,0.001803608694999,124.101409326425,1159.35903576509,3.93782383419689,0.120486456012242,0.676414507772021,0.060668284141856
