,name_scrapped,id,link_spotify,followers,generos,imagenes,popularidad,nombre_en_spotify,type_of_artist,lugar_extraido,index_on_last_dataset
0,Shakira,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,1
1,Juanes,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,2
2,Mateo Camargo,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,3
3,Alfredo Gutierrez,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,4
4,Alex González,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,5
5,John Leguizamo,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,6
6,Andrés Cepeda,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,7
7,Gabriel García Márquez,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,8
8,José Rodrigo Arango,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,9
9,Miguel Bosé,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,10
10,Fonseca,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,11
11,Fanny Lú,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,12
12,Joe Arroyo,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,13
13,Marbelle,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,14
14,Diomedes Díaz,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,15
15,Jorge Celedón,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,16
16,Catalina Sandino Moreno,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,17
17,Silvestre Dangond,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,18
18,Jean Carlos Centeno,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,19
19,Andrés Cabas,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,20
20,Carlos Vives,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,21
21,Jorge Oñate,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,22
22,Carolina la O,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,23
23,Natalia Hernández Botero,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,24
24,Ivan Villazon,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,25
25,Fernando Osorio,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,26
26,Maía,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,27
27,Piero De Benedictis,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,28
28,Israel Romero,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,29
29,Ilona,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,30
30,Naëla,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,31
31,Andrea Echeverri,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,32
32,J Balvin,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,33
33,Héctor Buitrago,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,34
34,Farina,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,35
35,Rafael Orozco Maestre,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,36
36,Edmar Castañeda,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,37
37,Totó la Momposina,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,38
38,Kaleth Morales,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,39
39,Jose Gaviria,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,40
40,Annie McCausland,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,41
41,Iván Gutiérrez,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,42
42,Alex Campos,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,43
43,Kike Santander,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,44
44,Tatiana Fuentes,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,45
45,Mayra Alejandra Gomez Rodriguez,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,46
46,Andrés Useche,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,47
47,Estéfano,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,48
48,Juan Carlos Coronel,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,49
49,Emiliano Zuleta,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,50
50,Samuel Torres,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,51
51,Jorge Villamizar,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,52
52,Lincoln Palomeque,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,53
53,Rafael Escalona,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,54
54,Sara Tunes,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,55
55,Orlando Sandoval,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,56
56,John Paul Ospina,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,57
57,Peter Manjarres,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,58
58,Ivonne Guzmán,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,59
59,Aztek Escobar,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,60
60,Charlie Zaa,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,61
61,Colacho Mendoza,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,62
62,Mateo Carvajal,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,63
63,Alejo Durán,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,64
64,Cholo Valderrama,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,65
65,Pablo Borbón,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,66
66,Robin del Castillo,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,67
67,Pablo Mejia Bermudez,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,68
68,Juan David M. Castaño,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,69
69,Juancho De la Espriella,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,70
70,Itagui Correa,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,71
71,Jairo Varela,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,72
72,Lucas Arnau,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,73
73,Meli Carabali,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,74
74,Billy Pontoni,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,75
75,Dann Visbal,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,76
76,Checo Acosta,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,77
77,Alberto Barros,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,78
78,Dionisio Yepes,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,79
79,Rafael Puyana,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,80
80,Tache,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,81
81,Jota,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,82
