,name_scrapped,id,link_spotify,followers,generos,imagenes,popularidad,nombre_en_spotify,type_of_artist,lugar_extraido,index_on_last_dataset
0,Shakira,<built-in function id>,https://open.spotify.com/artist/0EmeFodog0BfCgMzAIvKQp,22483270,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'pop']","[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebdb6951bb42403f5c38da7f9f', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174db6951bb42403f5c38da7f9f', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178db6951bb42403f5c38da7f9f', 'width': 160}]",85,Shakira,<class 'type'>,pagina_artistas_famosos,1
1,Juanes,<built-in function id>,https://open.spotify.com/artist/0UWZUmn7sybxMCqrw9tGa7,3438332,"['colombian pop', 'latin', 'latin pop', 'mexican pop', 'rock en espanol', 'tropical']","[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb7cf36c32585442e8b1f50ef6', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051747cf36c32585442e8b1f50ef6', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1787cf36c32585442e8b1f50ef6', 'width': 160}]",77,Juanes,<class 'type'>,pagina_artistas_famosos,2
2,Mateo Camargo,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,3
3,Alfredo Gutierrez,<built-in function id>,https://open.spotify.com/artist/7esYnrPzQX1JWWIyWxYu5A,77452,"['classic colombian pop', 'cumbia', 'vallenato']","[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eba54bade68ba08ae7de2a52a3', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174a54bade68ba08ae7de2a52a3', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178a54bade68ba08ae7de2a52a3', 'width': 160}]",47,Alfredo Gutierrez,<class 'type'>,pagina_artistas_famosos,4
4,Alex González,<built-in function id>,https://open.spotify.com/artist/78fDoD3WYFLhBOdIocptJN,215,[],"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebdc3b62debcfa8061e4cd68b1', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174dc3b62debcfa8061e4cd68b1', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178dc3b62debcfa8061e4cd68b1', 'width': 160}]",40,Alex González,<class 'type'>,pagina_artistas_famosos,5
5,John Leguizamo,<built-in function id>,https://open.spotify.com/artist/26nStRV6Waedt17W4Uhx6l,2819,['latino comedy'],"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273524a577f4a63516729586637', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02524a577f4a63516729586637', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851524a577f4a63516729586637', 'width': 64}]",36,John Leguizamo,<class 'type'>,pagina_artistas_famosos,6
6,Andrés Cepeda,<built-in function id>,https://open.spotify.com/artist/49Z1AvGeUaBSanPaOmplK6,2020433,"['colombian pop', 'latin', 'latin pop', 'latin rock', 'tropical']","[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb558ed189d4ecd1639803e6d5', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174558ed189d4ecd1639803e6d5', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178558ed189d4ecd1639803e6d5', 'width': 160}]",65,Andrés Cepeda,<class 'type'>,pagina_artistas_famosos,7
7,Gabriel García Márquez,<built-in function id>,https://open.spotify.com/artist/6OWdTHn3tUwHCUyV227SRa,180,[],[],2,Gabriel García Márquez,<class 'type'>,pagina_artistas_famosos,8
8,José Rodrigo Arango,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,pagina_artistas_famosos,9
9,Miguel Bosé,<built-in function id>,https://open.spotify.com/artist/7mWCSSOYqm4E9mB7V4ot6S,1768912,"['latin', 'latin pop', 'mexican pop', 'rock en espanol', 'spanish pop']","[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb7d888623c984600e6af1fdc5', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051747d888623c984600e6af1fdc5', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1787d888623c984600e6af1fdc5', 'width': 160}]",71,Miguel Bosé,<class 'type'>,pagina_artistas_famosos,10
